# Life expectancy in 191 countries
# Source: WHO website (march 2001)
# -------------------------------------------------------------------------
# VARIABLES:
# Country  
# Overall = Overall life expectancy
# Women   = life expectancy in women
# Men     = life expectancy in men
# -------------------------------------------------------------------------
Country	Overall	Men	Women
Hungary	64.1	60.4	67.9
Iceland	70.8	69.2	72.3
India	53.2	52.8	53.5
Indonesia	59.7	58.8	60.6
Iran,-Islamic-Republic-of 	60.5	61.3	59.8
Iraq	55.3	55.4	55.1
Ireland	69.6	67.5	71.7
Israel	70.4	69.2	71.6
Italy	72.7	70.0	75.4
Jamaica	67.3	66.8	67.9
Japan	74.5	71.9	77.2
Jordan	60.0	60.7	59.3
Kazakhstan	56.4	51.5	61.2
Kenya	39.3	39.0	39.6
Kiribati	55.3	53.9	56.6
Kuwait	63.2	63.0	63.4
Kyrgyzstan	56.3	53.4	59.1
Lao-Peoples-Democratic-Republic	46.1	45.0	47.1
Latvia	62.2	57.1	67.2
Lebanon	60.6	61.2	60.1
Lesotho	36.9	36.6	37.2
Liberia	34.0	33.8	34.2
Libyan-Arab-Jamahiriya	59.3	59.7	58.9
Lithuania	64.1	60.6	67.5
Luxembourg	71.1	68.0	74.2
Madagascar	36.6	36.5	36.8
Malawi	29.4	29.3	29.4
Malaysia	61.4	61.3	61.6
Maldives	53.9	54.4	53.3
Mali	33.1	32.6	33.5
Malta	70.5	68.4	72.5
Marshall-Islands	56.8	56.0	57.6
Mauritania	41.4	40.2	42.5
Mauritius	62.7	59.0	66.3
Mexico	65.0	62.4	67.6
Micronesia,-Federated-States-of	59.6	58.7	60.6
Monaco	72.4	68.5	76.3
Mongolia	53.8	51.3	56.3
Morocco	59.1	58.7	59.4
Mozambique	34.4	33.7	35.1
Myanmar	51.6	51.4	51.9
Namibia	35.6	35.8	35.4
Nauru	52.5	49.8	55.1
Nepal	49.5	49.4	49.5
Netherlands	72.0	69.6	74.4
New-Zealand	69.2	67.1	71.2
Nicaragua	58.1	56.4	59.9
Niger	29.1	28.1	30.1
Nigeria	38.3	38.1	38.4
Niue	61.6	61.0	62.2
Norway	71.7	68.8	74.6
Oman	63.0	61.8	64.1
Pakistan	55.9	55.0	56.8
Palau	59.0	57.4	60.7
Panama	66.0	64.9	67.2
Papua-New-Guinea	47.0	45.5	48.5
Paraguay	63.0	60.7	65.3
Peru	59.4	58.0	60.8
Philippines	58.9	57.1	60.7
Poland	66.2	62.3	70.1
Portugal	69.3	65.9	72.7
Qatar	63.5	64.2	62.8
Republic-of-Korea	65.0	62.3	67.7
Republic-of-Moldova	61.5	58.5	64.5
Romania	62.3	58.8	65.8
Russian-Federation	61.3	56.1	66.4
Rwanda	32.8	32.9	32.7
Saint-Kitts-and-Nevis	61.6	58.7	64.4
Saint-Lucia	65.0	62.4	67.6
Saint-Vincent-and-the-Grenadines	66.4	65.0	67.8
Samoa	60.5	58.7	62.3
San-Marino	72.3	69.5	75.0
Sao-Tome-and-Principe	53.5	52.1	54.8
Saudi-Arabia	64.5	65.1	64.0
Senegal	44.6	43.5	45.6
Seychelles	59.3	56.4	62.1
Sierra-Leone	25.9	25.8	26.0
Singapore	69.3	67.4	71.2
Slovakia	66.6	63.5	69.7
Slovenia	68.4	64.9	71.9
Solomon-Islands	54.9	54.5	55.3
Somalia	36.4	35.9	36.9
South-Africa	39.8	38.6	41.0
Spain	72.8	69.8	75.7
Sri-Lanka	62.8	59.3	66.3
Sudan	43.0	42.6	43.5
Suriname	62.7	60.2	65.2
Swaziland	38.1	37.8	38.4
Sweden	73.0	71.2	74.9
Switzerland	72.5	69.5	75.5
Syrian-Arab-Republic	58.8	58.8	58.9
Tajikistan	57.3	55.1	59.4
Thailand	60.2	58.4	62.1
The-former-Yugoslav-Republic-of-Macedonia	63.7	61.8	65.6
Togo	40.7	40.0	41.4
Tonga	62.9	61.4	64.3
Trinidad-and-Tobago	64.6	62.8	66.4
Tunisia	61.4	62.0	60.7
Turkey	62.9	64.0	61.8
Turkmenistan	54.3	51.9	56.7
Tuvalu	57.4	57.1	57.6
Uganda	32.7	32.9	32.5
Ukraine	63.0	58.5	67.5
United-Arab-Emirates	65.4	65.0	65.8
United-Kingdom	71.7	69.7	73.7
United-Republic-of-Tanzania	36.0	35.9	36.1
United-States-of-America	70.0	67.5	72.6
Uruguay	67.0	64.1	69.9
Uzbekistan	60.2	58.0	62.3
Vanuatu	52.8	51.3	54.4
Venezuela,-Bolivarian-Republic-of	65.0	62.9	67.1
Viet-Nam	58.2	56.7	59.6
Yemen	49.7	49.7	49.7
Yugoslavia	66.1	64.2	68.1
Zambia	30.3	30.0	30.7
Zimbabwe	32.9	33.4	32.4
