Class	Age	Sex	Survival
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	adult	female	died
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	male	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
2	children	female	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	survived
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	male	died
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	survived
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	adult	female	died
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	survived
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	male	died
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	survived
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
3	children	female	died
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
S	adult	male	survived
