# Anthropometric measures in 252 adult men (4 cases were withdrawn due to errors)
# Source: Johnson RW. Journal of Statistics Education v.4, n.1 (1996)
# -------------------------------------------------------------------------------------------------
# VARIABLES:
# Age	   = age (years)
# Weight   = body weight (Kg)
# Height   = body height (cm) 
# Thorax   = thorax circumference (cm)
# Waist    = waist circumference (cm) at midpoint between navel and iliac crests
# Wrist    = wrist circumference (cm)
# Biceps   = biceps circumference (cm), arm in extension
# Thigh	   = thigh circumference (cm)
# Knee     = knee circumference (cm)
# Ankle    = ankle circumference (cm)
# --------------------------------------------------------------------------------------------------
Age    Weight  Height    Thorax     Waist     Wrist    Biceps     Thigh      Knee      Ankle
 34      63.5     179      89.2      83.4      16.5      28.3      52.4      35.6       20.4
 34      99.2     183     111.4     106.0      18.5      34.0      63.8      42.0       23.4
 35      98.4     187     107.5      95.1      19.4      36.4      64.8      41.3       25.6
 35      75.4     173      99.1      90.4      17.7      30.2      55.5      34.2       21.9
 35     101.9     184     108.2     100.4      19.8      37.2      63.3      41.7       24.6
 35     103.5     177     114.9     115.9      18.8      36.1      74.4      40.6       24.0
 35      78.4     177      99.1      90.8      17.4      32.5      60.1      39.1       23.4
 35      69.1     172      92.2      81.9      17.7      30.4      54.7      36.2       22.1
 35      57.0     166      90.8      75.0      16.9      24.8      50.0      34.8       22.0
 35      80.4     180     100.5      90.3      17.7      31.0      57.8      37.3       22.4
 36      79.9     182      98.2      90.3      17.8      32.4      59.2      37.7       21.5
 36     102.9     182     115.3     108.8      20.1      35.4      69.2      42.4       24.0
 37      65.9     176      96.8      79.4      16.9      31.0      50.3      34.8       22.2
 37      68.5     170      92.6      83.2      16.7      31.5      60.0      38.1       22.0
 37     109.4     182     119.2     110.3      18.4      34.4      69.8      42.6       24.8
 38      84.9     176     102.7      92.7      18.1      34.8      64.7      39.5       24.7
 39     106.5     189     109.5     104.5      19.9      39.1      69.5      43.1       25.8
 39      99.5     189     108.5     104.6      19.0      35.6      68.1      42.8       24.1
 40      53.8     173      79.3      69.4      16.5      27.7      47.2      33.5       20.2
 40      66.1     171      95.5      83.6      17.2      31.4      54.1      36.2       21.8
 40      72.2     177      92.3      86.8      17.4      30.0      58.0      39.4       22.7
 40      77.3     189      98.9      90.4      17.7      30.5      55.4      38.9       22.4
 40      76.0     182      89.5      83.7      18.2      32.9      57.3      39.7       22.6
 41     105.6     189     117.5     109.3      20.0      37.2      67.7      41.3       24.7
 41      95.5     183     107.4      98.9      19.1      36.4      63.5      39.8       23.5
 41      91.7     184     109.2      98.0      18.8      36.6      62.8      41.3       24.8
 41      83.9     173     103.4     101.2      18.5      33.4      61.5      40.4       22.9
 41      69.4     176      91.4      80.6      17.9      29.6      54.3      36.3       21.8
 42     110.8     193     115.2     113.7      19.9      37.1      68.5      45.0       25.5
 42      87.8     179     104.9      94.1      18.7      34.0      60.6      38.6       24.7
 42     101.9     190     106.7     105.7      18.5      33.7      65.3      43.3       26.0
 42      73.8     185      92.2      85.6      17.1      31.7      60.2      38.9       22.4
 42      81.6     173     101.6      96.6      18.8      32.9      61.1      38.4       24.1
 42      70.9     175      97.8      86.0      17.4      31.2      57.7      38.6       24.0
 42      76.2     182      92.0      89.7      16.9      30.8      62.3      38.0       22.3
 42      75.9     185      94.0      78.0      18.5      30.6      57.5      40.0       22.5
 43      77.5     171     103.7      89.7      18.8      33.8      58.5      39.0       24.1
 43      80.9     178     102.7      89.2      18.6      31.7      60.2      39.2       23.8
 43      68.0     176      91.1      85.7      17.4      29.4      55.5      35.7       22.0
 43      90.9     182     107.2     103.1      18.7      32.1      68.8      38.3       23.7
 44      83.5     188     100.8      89.1      18.4      32.9      60.6      39.0       24.0
 44     101.2     177     121.6     113.9      17.4      34.8      63.5      40.3       21.8
 44      94.7     185     105.6      96.3      19.4      37.3      63.3      39.8       24.1
 44      75.3     166     100.6      93.9      17.3      33.1      58.9      37.6       21.4
 47      88.5     184     102.7     101.3      18.4      36.7      60.7      39.4       23.3
 47      72.8     178      99.8      83.9      17.7      31.4      53.0      36.2       22.5
 47      72.5     180      92.9      84.4      17.6      29.0      56.0      38.2       22.6
 49      63.7     173      91.2      79.4      17.4      30.9      51.1      35.0       21.7
 49      98.1     189     115.6     104.0      18.9      36.8      63.7      40.3       23.2
 49      76.3     182      98.3      89.7      18.6      29.5      56.3      38.8       23.0
 50      88.3     180     103.7      97.6      19.0      32.7      60.0      40.9       25.5
 50      78.4     185      98.7      87.6      18.0      28.6      57.1      38.1       21.8
 51      99.3     163     119.8     122.1      18.4      34.7      62.5      36.9       23.6
 51      67.7     177      92.8      81.1      17.8      31.3      53.8      36.5       21.5
 51      70.1     178      93.3      81.5      18.6      27.5      54.7      39.0       22.6
 52      90.4     182     106.8     100.0      19.2      35.7      63.9      39.2       22.9
 53      70.1     176      93.9      88.7      17.1      28.5      53.7      36.2       22.0
 54      69.5     179      99.0      91.8      18.9      31.4      57.7      38.1       23.9
 54     104.3     184     119.9     110.4      19.6      38.4      64.2      42.7       27.0
 54      73.4     171      94.2      87.6      17.8      27.9      59.7      40.2       23.4
 55      64.5     171      92.7      82.8      17.0      29.4      54.4      35.2       22.5
 55      81.5     175     106.9      95.3      19.2      34.1      57.4      37.1       21.8
 55      57.4     170      88.8      78.2      15.8      25.3      50.8      33.0       19.7
 55      76.9     173     101.7      91.1      18.8      33.4      56.6      38.5       22.6
 55      90.0     189     105.3      96.7      18.4      33.2      64.0      42.6       23.4
 56      79.2     177     104.0      89.4      18.8      34.6      58.4      37.4       22.5
 56      76.1     174      98.6      93.0      19.0      32.4      55.4      38.8       23.2
 57      67.0     167      99.6      86.4      16.9      31.7      53.0      35.0       21.3
 57      82.7     182     103.4      96.7      19.0      31.8      59.3      38.6       22.8
 58      79.6     182     100.2      88.1      18.0      30.9      57.1      38.9       23.6
 58      73.4     171      94.9      94.9      17.6      27.8      56.8      35.9       21.0
 60      71.6     171      97.2      93.3      18.3      31.3      54.3      35.7       21.0
 62      76.5     171     104.7      95.6      18.3      30.3      54.4      37.1       22.7
 62      86.9     184     104.0      98.2      19.0      32.6      59.3      40.3       23.0
 63      99.4     177     117.6     113.8      18.5      35.1      63.4      41.1       22.3
 64      70.4     177      95.8      82.8      18.3      29.8      61.2      39.1       22.3
 65      86.1     167     106.4     100.5      19.1      35.9      59.2      38.1       24.0
 65      57.8     167      93.0      79.7      16.5      28.5      50.7      33.4       20.1
 65     101.8     173     119.6     118.0      19.4      34.9      61.3      42.1       23.4
 66     106.3     183     119.7     109.0      19.5      35.6      63.7      42.4       24.6
 67     103.3     185     115.8     113.4      19.5      35.3      65.6      46.0       25.4
 67      90.5     174     118.3     106.1      18.5      32.1      58.2      38.8       24.1
 68      70.5     176      97.4      84.3      18.5      29.2      54.3      37.5       22.6
 69      97.8     179     113.7     107.6      18.8      37.5      63.3      44.0       22.6
 70      60.9     170      89.2      83.6      18.5      25.6      49.6      34.8       21.5
 72      91.2     177     108.5     105.0      20.1      35.2      59.6      40.8       23.2
 72      84.7     168     111.1     111.5      18.0      31.3      60.3      37.3       21.5
 72      86.5     179     108.3     101.3      19.8      30.5      56.0      41.6       22.7
 74      94.1     178     112.4     108.5      20.9      33.7      59.3      42.2       24.6
